date,steps,distance,runDistance,calories
2018-01-10,3110,2372,241,91
2018-01-11,3731,2756,322,108
2018-01-12,6198,4591,520,178
2018-01-13,6470,4853,629,191
2018-01-14,5691,4125,226,160
2018-01-15,3279,2431,248,93
2018-01-16,970,706,54,25
2018-01-17,0,0,0,0
2018-01-18,0,0,0,0
2018-01-19,870,666,158,28
2018-01-20,0,0,0,0
2018-01-21,0,0,0,0
2018-01-22,0,0,0,0
2018-01-23,0,0,0,0
2018-01-24,0,0,0,0
2018-01-25,3050,2230,300,84
2018-01-26,5044,3835,397,144
2018-01-27,4054,3123,353,128
2018-01-28,2524,1914,294,76
2018-01-29,0,0,0,0
2018-01-30,800,591,113,22
2018-01-31,4197,3053,402,118
2018-02-01,4481,3275,356,127
2018-02-02,10065,7646,506,298
2018-02-03,7663,5819,890,233
2018-02-04,0,0,0,0
2018-02-05,0,0,0,0
2018-02-06,0,0,0,0
2018-04-12,3618,2520,177,85
2018-04-13,5705,4131,320,152
2018-04-14,6171,4404,395,156
2018-04-15,3106,2231,182,79
2018-04-16,7201,5182,255,182
2018-04-17,6213,4734,1287,198
2018-04-18,8345,6333,1534,260
2018-04-19,10910,8189,1171,321
2018-04-20,5876,4208,379,147
2018-04-21,6198,4585,436,170
2018-04-22,7117,5099,287,181
2018-04-23,6453,4701,329,172
2018-04-24,6029,4493,353,169
2018-04-25,5312,3824,250,140
2018-04-26,7862,5901,1185,240
2018-04-27,7001,5359,1377,231
2018-04-28,7506,5685,1359,233
2018-04-29,5502,4016,512,152
2018-04-30,14308,10272,693,358
2018-05-01,5681,3959,609,149
2018-05-02,13017,9832,1491,382
2018-05-03,8533,6246,503,236
2018-05-04,7433,5436,459,203
2018-05-05,6281,4545,327,171
2018-05-06,5807,4285,325,160
2018-05-07,7226,5324,346,196
2018-05-08,7459,5373,561,200
2018-05-09,7864,5775,426,209
2018-05-10,5462,3863,447,136
2018-08-28,3986,2901,204,104
2018-08-29,8036,5665,516,199
2018-08-30,7039,5090,383,177
2018-08-31,10035,7323,542,267
2018-09-01,3890,2817,160,106
2018-09-02,8730,6320,490,235
2018-09-03,8331,5943,386,216
2018-09-04,7495,5384,336,188
2018-09-05,7767,5715,311,212
2018-09-06,6984,5180,207,196
2018-09-07,8086,5910,509,218
2018-09-08,7313,5381,511,200
2018-09-09,9161,6463,583,240
2018-09-10,11641,8885,1724,356
2018-09-11,8187,6138,1305,252
2018-09-12,8639,6329,581,240
2018-09-13,9774,7197,645,271
2018-09-14,7286,5249,361,193
2018-09-15,7045,5121,345,195
2018-09-16,9652,7111,508,271
